Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,ExpectedReason,Message
"status-token/PR_FS/successor/TK_Active ","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnresolvedActualStart","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"status-token/PR_FS/successor/tk_notstart","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-malformed-actual-start/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-actual-start-after-data-date/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-actual-start-after-remaining-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-negative-remaining-duration/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FS/successor","PR_FS","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_FS/successor","PR_FS","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"status-token/PR_FF/predecessor/","PR_FF","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/predecessor/TK_Bogus","PR_FF","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/predecessor/TK_Active ","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"status-token/PR_FF/predecessor/tk_notstart","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FF/predecessor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FF/predecessor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-actual-start/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-actual-start-after-data-date/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-actual-start-after-remaining-finish/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-negative-remaining-duration/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FF/predecessor","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FF/predecessor","PR_FF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_FF/predecessor","PR_FF","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"status-token/PR_FF/successor/","PR_FF","TK_NOTSTART","","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/successor/TK_Bogus","PR_FF","TK_NOTSTART","TK_BOGUS","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FF/successor/TK_Active ","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnresolvedActualStart","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"status-token/PR_FF/successor/tk_notstart","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-malformed-actual-start/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","","","","","","","","TT_Task","TT_Task","","bad-date","8","8","2026-01-02 17:00","Observation only","Progress-sensitive evaluation needs explicit valid actual starts for active endpoints."
"active-actual-start-after-data-date/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-03 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-actual-start-after-remaining-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","","","","","","","","TT_Task","TT_Task","","2026-01-10 08:00","8","8","2026-01-02 17:00","Observation only","The recorded actual start is after the Data Date; demonstrated progress semantics cannot be established."
"active-negative-remaining-duration/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","-8","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"active-malformed-remaining-duration/PR_FF/successor","PR_FF","TK_NOTSTART","TK_ACTIVE","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRetainedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-06T17:00:00","TT_Task","TT_Task","","2026-01-01 08:00","8","bad-number","2026-01-02 17:00","Observation only","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"complete-missing-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"complete-malformed-actual-finish/PR_FF/successor","PR_FF","TK_NOTSTART","TK_COMPLETE","RetainedLogic","RetainedLogic","0","Historical","HistoricalSuccessor","","","","","","","","TT_Task","TT_Task","","2026-01-01 08:00","8","0","2026-01-02 17:00","Observation only","The successor is complete; there is no remaining successor event for this metric."
"status-token/PR_SS/predecessor/","PR_SS","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/predecessor/TK_Bogus","PR_SS","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_SS/predecessor/TK_Active ","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","UnsupportedProgressedStartEndpoint","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"status-token/PR_SS/predecessor/tk_notstart","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","restart_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_SS/predecessor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_SS/predecessor","PR_SS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","Observation only","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-malformed-actual-start/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-actual-start-after-data-date/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-actual-start-after-remaining-finish/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-10 08:00","","8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-negative-remaining-duration/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","-8","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"active-malformed-remaining-duration/PR_SS/predecessor","PR_SS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedProgressedStartEndpoint","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","bad-number","8","2026-01-02 17:00","Observation only","An actual predecessor start cannot be substituted into the movable remaining-start solver; remaining SS/SF lag semantics are not verified."
"complete-missing-actual-finish/PR_SS/predecessor","PR_SS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
"complete-malformed-actual-finish/PR_SS/predecessor","PR_SS","TK_COMPLETE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Historical","HistoricalFixedPredecessor","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","0","8","2026-01-02 17:00","Observation only","There is no movable remaining predecessor event. A fixed historical release or unexpired lag may still affect the successor."
